source,source_url,date_posted,company,title,category,location,job_type,tags_raw,description
Remotive API,https://remotive.com/remote-jobs/operations/operations-software-assistant-2090000,2026-04-28 09:07:32.000000000,Bulldog Digital Media,Operations software assistant,Operations,"Europe, European timezones",freelance,security; seo; AI/ML,"Operations software assistant Bulldog is a UK agency helping marketing and SEO teams increase their visibility on Google and AI through link building and digital PR. We're a team of 12, with expertise in SEO, content, link building, and PR, based in the UK, Serbia, and North Macedonia. We are looking for a process-driven and intuitive person to work alongside our Operations Manager in overhauling our internal processes into a modern, streamlined way of working. We've already started implementing this as a proof of concept, with incredible results. We now need an extra pair of creative hands to move faster and help execute improvements. The role Help review processes and improvements in ways of working. Help build additional internal tools to improve delivery and efficiency. Use Claude AI to code, with clear operational thinking on what to build and why. Own tool maintenance, including fixes, improvements and updates. Monitor internal tools and portals to make sure they run smoothly. Keep the team updated on tool changes, updates and how things work. Work with the Operations Manager to find ways to save the company time on tasks. Take on a wide range of agency-improving tasks with the Operations Manager. Skills & experience Nice to have an understanding of link building, SEO and the AI ranking space. Intuitive thinking on how to improve processes so they can scale. Strong English and clear communication on project progress. Comfortable using Claude AI to code and create tools. Enjoys improving processes and is confident in independently owning projects. Working for Bulldog A friendly, passionate team that takes quality seriously. Join a talented team who work closely together every day. A flexible and remote-first work culture, enjoy your birthday off, fully paid. You'll be hired as a freelancer on 35 hours per week to start, with room to grow. You'll have a contract in place with notice periods, so you have security with us from the start."
Remotive API,https://remotive.com/remote-jobs/software-development/head-of-engineering-2089995,2026-04-24 14:40:54.000000000,Lemon.io,Head of Engineering,Software Development,"USA timezones, European timezones",full_time,AI/ML; startup; marketplace; fundraising,"About Lemon.io Lemon.io is a profitable, growing talent marketplace that connects vetted senior engineers with companies that need them. We’ve been in business for 10 years, have 60 people across Ukraine, Europe, Canada, and the US, and process over $16M in annual GMV. We compress the traditional 2–5 week hiring timeline down to 24–48 hours through a curated, pre-vetted supply of developers. Hiring is still broken. Recruiters spend weeks building candidate pipelines on traditional platforms, burning energy on unqualified leads. We’re building the product that changes that. Giving recruiters qualified, vetted candidates within 24 hours without the grind. This is a pivotal moment: we’re transitioning from a services-driven marketplace to a technology-driven platform. We need an engineering leader who can drive that transformation. The Role You will own engineering at Lemon.io. You’ll lead a growing team of engineers, make critical architecture and prioritization decisions, and be directly accountable for the speed and quality of what we ship. This is not a management-layer role. You’ll be hands-on, deeply involved in product decisions, and working side by side with the founder. What You’ll Do: Own the technical roadmap and make sure every engineering effort maps directly to business impact. No features for features’ sake. Lead and grow an engineering team that ships fast, iterates constantly, and treats complexity as a cost. Tackle the hard, multi-layered problem: automated vetting, intelligent matching at scale, demand-side bottlenecks. And figure out where the real leverage is. Make hard prioritization calls. Decide what we build, what we skip, and what we kill. Work directly with the founder and product team to define what success looks like before writing a single line of code. Build the engineering culture: high ownership, high speed, low bureaucracy. Who You Are: Product-minded, business-first Obsessed with simplicity First principles thinker Fast. Bias toward action Experience: You’ve led engineering teams (5–30+ people) at a startup or high-growth company. You have hands-on experience with modern stacks and are comfortable with AI/ML tooling. You’ve worked in a distributed, async-first team. Why Lemon.io: Profitable and growing. No fundraising pressure, real business fundamentals. A pivotal moment: you’re not maintaining an engine, you’re building one. The product roadmap is wide open. Direct access to the founder. No layers. Your decisions ship. A massive, unsolved problem: hiring is still broken. We’re building the product that makes it radically faster for companies to find qualified engineers. A team of 60 people who move fast, care deeply, and have survived the hard years together. For this position, we accept applicants from the following countries: Albania, Andorra, Austria, Belgium, Bulgaria, Bosnia and Herzegovina, Vatican City, Greece, Denmark, Estonia, Iceland, Spain, Italy, Cyprus, Latvia, Lithuania, Liechtenstein, Luxembourg, Malta, Moldova, Monaco, Netherlands, Germany, Norway, North Macedonia, Poland, Portugal, Romania, San Marino, Slovakia, Slovenia, Ukraine, Finland, France, Croatia, Montenegro, Czech Republic, Switzerland, Sweden, Argentina, Belize, Bolivia, Brazil, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Haiti, Honduras, Jamaica, Mexico, Panama, Paraguay, Peru, Puerto Rico"
Remotive API,https://remotive.com/remote-jobs/marketing/mid-senior-ai-video-artist-2089994,2026-04-24 08:15:19.000000000,EverAI,Mid/Senior AI Video Artist,Marketing,Worldwide,full_time,excel; video; AI/ML; customer acquisition; advertising; paid marketing; video ads; after effects; editing; video editing; user acquisition; motion design; insurance,"Our Vision & Products 🚀 EverAI — Building the Future of AI Companionship One of the Top 15 Largest & Fastest-Growing AI Companies in the World 50 Million Users in 2 years — Help Us Reach 100M first, 500M next At EverAI , we’re shaping what it means to connect with AI. With 50 million users and counting , we're not just building products — we're creating entirely new categories. Our flagship product is the world’s largest AI companionship platform , redefining relationships for millions. It is governed by our proprietary moderation system, EverGuard — an internal AI designed to ensure everything we build is safe, ethical, and human-first . And we’re only just getting started! Our Team We are an enthusiastic, passionate and hardworking team of ≈ 75 people. Our founding team has strong entrepreneurial experience building and scaling web products from 0 to IPO. Alexis Soulopoulos [CEO] • 10+ years in Tech Executive Leadership • Co-Founder Mad Paws Holdings (from 0 to IPO) • Forbes 30 under 30 + Deloitte TechFast50 ’22 & ‘23 Michael Monin [Co-founder & CTO] • 10+ years as CTO / COO (web2/web3), 1+ year in AI/LLM • Serial-entrepreneur: MTK Digital (exited / 0->$20m revenue) and Zipchat (AI Chatbot for E-commerce brands) Thomas Lacroix [Co-founder & CMO] • 8+ years in Customer Acquisition & E-commerce Growth • Serial-entrepreneur: Curatible (sold to Blackstone) and MTK Digital (exited / 0->$20m revenue) Maruša Fasano [CFO/Legal] • 25+ years in Finance, Strategy, M&A • Ex-CFO/M&A @Curatible (exited to Blackstone) • Ex-President of the Board @SotremoSA (exited) • Co-founder/CFO @SoftOne (exited) Your Role We are looking for a Mid/Senior AI Video Artist who is comfortable editing engaging videos in a fast-paced environment and thrives when managing their production pipeline independently: from idea inception to audio, graphics and colour grading. Reporting directly to our CMO Thomas, this is what you'll be doing: Key Responsibilities Create high-performing video ads tailored for various digital platforms (Socials, Adult sites) with a strong focus on user acquisition and engagement Lead the editing and post-production process for marketing videos , ensuring they are visually engaging, emotionally compelling, and conversion-optimized Collaborate closely with the marketing and creative teams to develop concepts and storyboards that align with performance data and campaign objectives Leverage AI tools like Midjourney, Stable Diffusion, Runway, and other generative video technologies to enhance creative output and accelerate production timelines. Maintain a high standard of visual storytelling while adapting to rapid feedback and performance-based iterations Optimize video content for various formats, ratios, and channel-specific best practices Stay on top of trends in short-form advertising and the adult/adult-adjacent space to bring fresh, innovative ideas to the table Ensure all content complies with platform policies and brand guidelines while pushing creative boundaries Your Qualifications Hard Skills 4+ years of experience in video editing, with a strong portfolio of ads created for paid marketing campaigns Deep understanding of storytelling, pacing, motion design, and sound design in performance-driven creative Proven experience using generative AI tools like Midjourney, Stable Diffusion, Runway, etc., in your editing workflow Proficiency with editing software such as Adobe Premiere Pro, After Effects, or Final Cut Pro Strong grasp of trends in NSFW/Adult content advertising, particularly pre-roll ads, TikTok-style edits, and fast-paced performance creative Familiarity with advertising KPIs such as CTR, CR, CPM, and ROAS, and ability to optimize creative based on performance data Soft Skills 🗣 Strong communication & collaborative skills (perfectly fluent in English) 🎯 Goal-oriented, ownership and commitment ⚡️ Doer mindset - we are moving fast and need people who can balance execution, planning, and strategy ⏱️ Obsessive about speed, performance and iteration 🧢 Humble - willing to learn, open to feedback 🍭 #NSFW - Comfortable building products based on uncensored models and content Bonus point Prior experience in the adult, dating, or igaming industries Why EverAI? 📈 Exponential Growth : From 50M users in 2 years, to 100M next — and 500M beyond 🚀 Track Record of Category-Creating Innovation : We consistently launch world-first AI applications — setting the pace, not following it 🌍 Global Impact : Top-tier user growth, real-world adoption, and cultural relevance 🧠 Proven Leadership : A senior team that’s launched, scaled, and exited & IPO’d multiple scale ups — now fully focused on reshaping AI companionship 👥 Elite Remote Team : 100% remote and built to win — world-class talent from Tier 1 tech companies , with a culture of ownership, velocity, and radical creativity 🛡️ Ethical Core : Our AI ecosystem is governed by EverGuard, our proprietary AI moderation technology , ensuring responsible development at scale What We Offer ✍️ Contract Type: We prefer B2B, but we’re flexible, what matters is long-term commitment and impact 📍 Work From Anywhere: Fully remote. Choose the environment where you do your best work 🏝️ Paid Time Off: 4 weeks (20 working days) of PTO per year to recharge and reset 👨‍👩‍👧‍👦 Annual Gathering: A yearly in-person meetup to connect, brainstorm, and celebrate wins together ❤️‍🩹 Health & Wellness Support: Monthly allowance of 100 USD for health insurance expenses + unlimited 1:1 sessions with psychologists and lifestyle experts through OpenUp (also available for up to three family members) 🏢 Co-Working Space Budget: Work from a co-working space up to twice per month (35 EUR / 40 USD per visit) to stay inspired and connected 📚 Learning Budget: Dedicated funds to support your professional growth: courses, books, conferences, events, or certifications 💻 Equipment: Company laptop provided + monitor budget up to 250 USD for your workspace setup ⚡ AI Tools Access: Premium access to ChatGPT, Cursor, Hugging Face, Claude Code, and any other tool needed to excel at your job, power your ideas and workflows 🎯 Top Tier Talent Is Our Multiplier We’re a fully remote group of A-players from Tier 1 tech , led by an exec team who’ve launched, scaled, and exited multiple companies . We move fast, and care deeply about what we build — and who we build it with. We’re looking for exceptional talent ready to ship & distribute world-first AI products at scale, fast, and co-create with us this category-defining business. If that’s you — reach out and apply! 💡 External Referral Program Know someone who could be a great fit for this role? You can refer them through the EverAI External Referral Program and earn a bonus of up to 2,500 USD if they’re hired. Submit a referral here."
Remotive API,https://remotive.com/remote-jobs/all-others/content-reviewer-us-2089990,2026-04-21 12:46:23.000000000,TELUS Digital,Content Reviewer - US,All others,USA,part_time,android; go; ios; social media; AI/ML; diversity,"Looking for a freelance opportunity where you can make an impact on technology from the comfort of your home? If you are dynamic, tech-savvy, and always online to learn more, this part-time flexible project is the perfect fit for you! A Day in the Life of a Content Reviewer - US : In this role, you’ll be analyzing and providing feedback on texts, pages, images, and other types of information for top search engines, using an online tool Through reviewing and rating search results for relevance and quality, you’ll be helping to improve the overall user experience for millions of search engine users, including yourself. Join our team today and start putting your skills to work for one of the world's leading search engines. The estimated hourly earnings for this role are 14 USD per hour. Please note only one member per household can work on this program. If at a later stage it is identified that more than one person in your household is working on the TELUS Digital Rating Program, it will result in removal from the program. TELUS Digital AI Community Our global AI Community is a vibrant network of 1 million+ contributors from diverse backgrounds who help our customers collect, enhance, train, translate, and localize content to build better AI models. Become part of our growing community and make an impact supporting the machine learning models of some of the world’s largest brands. Qualification path No previous professional experience is required to apply to this role, however, working on this project will require you to pass the basic requirements and go through a standard assessment process. This is a part-time long-term project and your work will be subject to our standard quality assurance checks during the term of this agreement. Basic Requirements Working as a freelancer with excellent communication skills in English Bein g a resident in the United States for the last 3 consecutive years and having familiarity with current and historical business, media, sport, news, social media, and cultural affairs in the US. Active use of Gmail and other forms of social media and experience in the use of web browsers to navigate and interact with a variety of content Daily access to a broadband internet connection, a smartphone (Android 5.0, iOS 14 or higher), and a personal computer to work on. Assessment In order to be hired into the program, you’ll take a language assessment and an open book qualification exam that will determine your suitability for the position and complete ID verification. Don’t worry, our team will provide you with guidelines and learning materials before your exam. You will be required to complete the exam in a specific timeframe but at your convenience! Equal Opportunity All qualified applicants will receive consideration for a contractual relationship without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. At TELUS Digital AI, we are proud to offer equal opportunities and are committed to creating a diverse and inclusive community. All aspects of selection are based on applicants’ qualifications, merits, competence, and performance without regard to any characteristic related to diversity"
Remotive API,https://remotive.com/remote-jobs/artificial-intelligence/ai-engineer-2089958,2026-04-21 08:16:20.000000000,Dry Ground AI,AI Engineer,Artificial Intelligence,"Brazil, Colombia, Philippines",full_time,api; cloud; fullstack; python; AI/ML; automation; research; CI/CD; TensorFlow; spark; NLP; CMS; Pytorch; REST,"We are seeking a versatile and highly skilled AI Engineer to join our fast-growing Full-Stack AI Solutions company. This role blends the expertise of building cutting-edge AI/ML models with the practical know-how of automation and agentic system integrations. You will design, develop, deploy, and optimize intelligent solutions that leverage the power of generative AI, automation platforms, and agent-based systems to enhance client operations, streamline workflows, and deliver measurable results. This is a unique opportunity to work across a diverse range of technologies—from fine-tuning transformer models to building real-world AI-powered automation stacks. If you’re passionate about pushing the boundaries of AI while creating real value through systems thinking and practical implementation, this role is for you. Key Responsibilities AI/ML Development: Design, build, and deploy machine learning and generative AI models for custom use cases. Fine-tune and optimize large language models (e.g., GPT, BERT) using frameworks like Hugging Face Transformers. Conduct ongoing research to stay ahead of advancements in AI/ML, including LLMs, generative AI, and transformer-based architectures. Develop data pipelines for preprocessing, feature engineering, and model training. Test, validate, and monitor model performance in real-world scenarios; iterate for reliability and accuracy. Collaborate with cross-functional teams to embed AI into products, platforms, and services. Mentor junior engineers and contribute to technical leadership. Automation & Agentic Systems: Design, implement, and maintain automation workflows using tools such as: LangChain, LangGraph, LangSmith, LangFuse n8n, ElevenLabs, and CMS integrations. Engineer system-to-system integrations using APIs to enable intelligent process automation. Apply prompt and context engineering techniques to enhance the performance of conversational AI tools. Implement prompt management and QA processes for agents and assistants. Explore and deploy Microsoft Copilot Studio, PowerApps, and PowerAutomate solutions (preferred but not required). Continuously evaluate emerging AI and automation tools and assess their applicability in client use cases. Collaborate with clients and internal teams to scope, deliver, and maintain agentic and automation solutions aligned with business goals. Qualifications Required 2+ years of hands-on experience in AI/ML development, including training and deploying models in production. Strong programming skills in Python, with proficiency in frameworks such as TensorFlow, PyTorch, Scikit-learn, and Hugging Face Transformers. Experience working with AI tools like Langchain, OpenAI, or Stable Diffusion. Practical experience with automation platforms and AI agent builders (as listed above). Deep understanding of machine learning algorithms, neural networks, and NLP concepts. Proficiency in using REST APIs for tool and platform integrations. Familiarity with cloud-based AI/ML platforms. Strong analytical skills and the ability to translate business problems into technical AI/automation solutions. Preferred Experience working with Agentic AI frameworks, voice automation, and prompt tuning systems. Exposure to MLOps best practices, including model versioning, CI/CD, and monitoring. Knowledge of reinforcement learning, GANs, or edge AI deployments. Familiarity with distributed computing frameworks such as Spark or Ray. Background in AI agency workflows and client-facing solution delivery. Work Environment & Benefits Competitive salary and performance-based incentives. Flexible work environment: Remote-first. Collaborative, innovation-driven culture with a commitment to personal and professional growth. Opportunity to work at the forefront of AI innovation across industries and verticals."
Remotive API,https://remotive.com/remote-jobs/customer-service/customer-retention-manager-2088656,2026-04-16 21:16:09.000000000,AutoHDR,Customer Retention Manager,Customer Service,USA,full_time,AI/ML; editing; startup,"Role: Customer Success Representative AutoHDR is the fastest growing AI startup in real estate media. We train custom image editing models for real estate, and are currently editing 25% of all US real estate listings! Join our team and work with an exceptional team to build cutting edge products and continue growing 20% month over month! Our vision is to produce the majority of media for the real estate industry - and you can join early on. The role: Own customer retention; build systems, automations, and build relationships to ensure a customer never leaves once using the platform. Call un-subscribed customers to collect feedback and conduct our winback process Call customers who report low quality ratings in realtime to proactively prevent churn. Consult them on how to prevent the issue & share upcoming product updates. Proactively call existing users to collect feedback and proactively mitigate any churn risks. Your key responsibility: Make sure 100% of tickets from un-subscribed customers and low quality ratings are called through every single day. Come up with ideas and systematic, data-driven approaches for churn prevention. Requirements: Background working with real estate photographers or editing companies Understanding of HDR or flambient real estate photo workflows Perfect English fluency and no accent Schedule: Full-time (US Business Hours) AutoHDR Core Values: Our core values are the fuel for our continuous 20% month over month growth. Iron sharpens iron in our office, and the entire dev team is bought in to winning together. Persistence You believe anything is possible - the only variable is how long it will take. You will always continue trying to solve a problem, look for new solutions, and figure it out at all costs through continous effort - even when most would give up. Optimism You believe strongly that you can accomplish anything you want - regardless of the odds. Even when the worst case scenario happens, and everything is on fire, you never doubt your ability to pull through and win at what you set out to do. Competitive greatness Every individual on our team wants to be the best in the world at what they do. We are extremely compeitive, and will settle for nothing other than being the #1 player for AI real estate editing."
Remotive API,https://remotive.com/remote-jobs/customer-service/customer-support-representative-2088655,2026-04-16 21:00:55.000000000,AutoHDR,Customer Support Representative,Customer Service,USA,full_time,saas; AI/ML; editing; technical support; onboarding; responsive,"Company Description AutoHDR is an AI real estate photo editing platform. We launched less than a year ago and already edit 25% of U.S. real estate listings. We’re building a category-defining product and looking for people who want to help us scale it fast. This is an early hire on a small team of A players changing the industry. Role Description We’re hiring a Customer Support Rep to own inbound support and make sure the product is delivered well to users. This is not a passive support role. We want someone fast, sharp, calm under pressure, and great with people. Your job is to respond quickly, solve problems clearly, and make sure every customer gets the right outcome fast. You’ll handle inbound questions, quality issues, flagged shoots, human edit requests, and account-related problems. You’ll also be responsible for spotting when something is actually a bug, a churn risk, a sales opportunity, or an onboarding issue, and routing it correctly. We want someone who can think clearly, communicate well, and use judgment. You should be able to solve what can be solved, escalate what needs escalation, and always leave the customer feeling taken care of. You should also be constantly thinking about how support can be faster, smarter, and more scalable over time. Requirements You love helping people and communicating clearly. You are fast, organized, and highly responsive. You have strong judgment and know how to solve problems without overcomplicating them. You are high-agency and take ownership instead of waiting around. You can stay calm under pressure and handle urgent issues well. You pay close attention to detail and care about quality. You are good at figuring out whether something is a support issue, a bug, a churn risk, or a sales opportunity. You think in systems and naturally look for ways to improve workflows over time. You are comfortable working quickly across inboxes, tickets, Slack, and internal tools. Bonus if you: Have worked in customer support, operations, or a fast-paced SaaS environment. Have experience in real estate media or real estate photography. Have experience handling quality control, escalations, or technical support. Have used AI tools to improve workflows or automate repetitive wor"
Remotive API,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,2026-04-16 10:16:01.000000000,A.Team,Senior Independent AI Engineer / Architect,Software Development,"Americas, Europe, Israel",contract,go; UI/UX; wordpress; chat; apple; testing; catalyst,"Location: Americas, Europe, or Israel The Opportunity Join A.Team’s invite-only network of senior builders and access exclusive missions with Fortune 500s and top startups. This isn’t client work or employment—it’s a vetted collective where you’re matched to impactful projects. At A.Team, you won’t just implement someone else’s plan. You’ll be the technical decision-maker, owning everything from model design to enterprise integration. Why A.Team Elite peers : ex-OpenAI, Google, Meta, Amazon. Precision matching : Missions in LLMs, CV, NLP, ML infra, fine-tuning. Compensation : $120–$170/hr, biweekly payouts, you keep 100%. Autonomy : Choose only missions that excite you—no small gigs, no chasing. What You’ll Do Lead the design, deployment, and scaling of production AI systems. Build ambitious software 0→1 in small, senior teams (3–5 people). Scope, propose, and execute solutions with real ownership. Partner with founders, CTOs, and product leaders to deliver outcomes that matter. Who Thrives Here Senior AI/ML Engineers with production systems live. AI Architects who’ve built enterprise AI stacks. Tech Leaders balancing architecture with business outcomes. Specialists in LLMs, CV, NLP, or infra with proven depth. Not a fit : under 4 years’ experience, simple website builders, or small gig seekers. Proof in the Network Your peers have scaled apps to millions, built enterprise AI platforms, shipped AI at unicorns, and deployed infra handling billions/day. How to Apply Apply once at build.a.team/apply-ai . Short, rigorous process—we care more about what you’ve built than lengthy forms."
Remotive API,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,2026-04-16 10:15:53.000000000,A.Team,Senior Independent Software Developer,Software Development,"Americas, Europe, Israel",contract,go; wordpress; chat; apple; testing; catalyst,"You must be located in the Americas, Europe, or Israel to apply. A·Team is a VC-backed, stealth, application-only home on the internet for senior independent software builders to team up with hand-picked, high-growth companies on their next big thing. After talking with hundreds of independent engineers, designers, and product folks, we heard over and over that finding vetted, high-quality, consistent clients is hard, and projects are often too small to be rewarding. A·Team matches small teams of the most talented builders in the world with companies backed by a16z, YC, Softbank, General Catalyst, etc. on a contract basis for many of their most important initiatives. We quietly launched in May 2020, and have helped A·Teamers earn $85+ million since. As part of A·Team, you can expect: High-paying, meaningful missions with the most audacious companies sent your way; generally $90-$150+/hr, with vetted, fascinating clients doing work that matters. We're picky about who we partner with; new clients only come in via trusted referral. We've worked with Lyft, McGraw Hill, ClearCo, Pepsi, Walmart, the former CEO of Waze, the leading vaccine production software, several new unicorns we can't say here, and dozens of startups backed by a16z/YC/Softbank/Insight/Tiger/etc. Work alongside friends old & new: our niche is small/diverse product teams, since clients with larger budgets and higher-impact work tell us they want teams, not individuals. Of course, we keep friends together whenever we can. Full autonomy: say ""no"" to things that don't excite you. The most talented builders often juggle a few things at once, so there's never pressure to join an A·Team mission if you don't have the bandwidth. If we're no longer a fit, it's easy to leave or pause too. Small, curated, off-the-record gatherings: for conversations hard to have elsewhere. Long-term, we're creating micro-communities for the world's top builders to become friends around the things they care about. Keep 100% of what you earn: if you charge $120/hr, you get $120/hr. A·Team makes money by charging a small, flat, transparent platform fee on top of your rate. How to apply: Go here: https://build.a.team/remotivereferral + mention Remotive. We respect your time so the application is short. We're also much more interested in seeing what you've made, and excited to chat more if there’s a fit. What you’ll do: Once part of A.Team, you’ll regularly be invited to impactful missions that match your interests. Find the right pick from early-stage incubations with world-class founders, to fast-growing super-funded companies, to old school non-tech incumbents looking to build as a tech giant would Missions usually involve building an ambitious piece of software from 0 to 1 as part of a small 3-4 person team. You’ll be paid to scope it out, give the client options, guide strategy, and execute on the selected solution. Sometimes the client has a clear vision, sometimes not; which is why A.Team builders tend to be senior folks who can work together to find the right direction. Who A · Team is for: Senior software developers who left large companies and high-growth startups to pursue their craft with autonomy. Those who prefer consistent contract work over a full-time role, who want to create a variety of new products alongside other top-tier builders. The majority of A.Teamers spend most of their time doing independent work, but a sizeable percentage are either employed full-time (but testing out client work), bootstrapping a side project, or looking for their next big thing Who A · Team is not for: People looking for small gigs Folks looking to build simple wordpress/wix/squarespace-style websites Those still early in their careers (<4 years) and recent university/bootcamp grads (at least not yet) Our long-term vision: A·Team is a new type of company for a new kind of independent software builder. We call them ""unhirables"": people who traditional companies couldn’t hire full-time even if they wanted to, but who want to do their most meaningful work with their favorite people in small, autonomous, distributed expert teams. To help us secure amazing missions, we raised $60 million+ from Insight Partenrs, Tiger Global, NFX, RocNation, along with the former CEO of Upwork, the founders of Fiverr and Lemonade, Apple's Global Head of Recruiting, YC Partner Aaron Harris, Wharton's Adam Grant, and Duke's Dan Ariely."
Remotive API,https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711,2026-04-15 14:19:37.000000000,Lemon.io,Senior Full-stack React Developer,Software Development,"Americas, Europe, Asia, Oceania",contract,.Net; android; AWS; azure; backend; C; C#; C++; data science; fullstack; golang; ios; java; javascript; node.js; php; python; react; react js; ruby/rails; shopify; video; blockchain; AI/ML; react native; rust; unity; spring; data analysis; laravel; solidity; flask; Typescript ; angular ; GCP; data engineering; Symfony; startup; marketplace; next.js,"Are you a talented Senior Developer looking for a remote job that lets you show your skills and get decent compensation? Look no further than Lemon.io — the marketplace that connects you with hand-picked startups in the US and Europe. What we offer: The rate depends on your seniority level, skills and experience. We've already paid out over $11M to our engineers. No more hunting for clients or negotiating rates — let us handle the business side of things so you can focus on what you do best. We'll manually find the best project for you according to your skills and preferences. Choose a schedule that works best for you. It’s possible to communicate async or minimally overlap within team working hours. We respect your seniority so you can expect no micromanagement or screen trackers. Communicate directly with the clients. Most of them have technical backgrounds. Sounds good, yeah? We will support you from the time you submit the application throughout all cooperation stages. Most of our projects involve working in a fast-paced startup environment. We hope you like it as much as we do. Through our community, we will connect you with the best developers from more than 71 countries. We have several open positions for Full-Stack React.js Developers - please see the details below. We also have some backend positions; the full list is included below as well. Requirements for the Senior React & Python Position: 4+ years of software development experience Commercial experience: React.js 3+ years and Python 3+ years OR React.js 2+ years and Python 5+ years OR React.js 5+ years and Python 2+ years Experience with AWS, GCP, or Azure is required Requirements for the Senior Python Position: 5+ years of software development experience 5+ years of commercial experience with Python 3+ years of commercial experience with Flask Requirements for the Senior Golang & React Position: 4+ years of software development experience React.js 3+ years and Golang 3+ years OR React.js 2+ years and Golang 5+ years OR React.js 5+ years and Golang 2+ years Requirements for the Senior Golang Position: 5+ years of software development experience 5+ years of commercial experience with Golang Other requirements: Strong technical skills: as a Senior Developer, you are expected to be able to create projects from scratch and have a deep understanding of application architecture. Clear and effective communication in English — advanced ability to discuss business tasks, justify decisions, and communicate issues. Good self-presentation is also essential for upcoming client calls. Strong self-organizational skills — ability to work full-time remotely with no supervision. Reliability — we want to trust you and expect that you won’t let us and the client down. Adaptability and Flexibility — the ability to onboard the project promptly after accepting it and start delivering results quickly. Sounds good for you? Apply now and join the Lemon.io community! NOT YOUR TECH STACK? We have multiple projects available for Senior Developers. If you have 4+ years of commercial software development experience and are proficient in any of the following areas: React & Node, React & Ruby, PHP & Angular, PHP & Vue, Vue & Node.js, React & .NET, Android & iOS, Angular & .NET, Angular & Node.js, Vue & .NET, Python & Vue, MLOps, React & Java, Data Science, Blockchain (Web3/Solidity/Solana), Symfony & React, Symfony & Vue, Symfony & Angular, Symfony & JavaScript & Next.js & TypeScript, Data Analysis, React & PHP, Data Engineering, AI Engineering, Data Annotation, DevOps, Svelte & Python, Svelte & Node, Svelte & TypeScript, Rust, Shopify & JavaScript, Vue & Nuxt, Python & Node, Angular & TypeScript, Ruby & Ruby on Rails, React Native & Ruby, React Native & Python, PHP & Laravel, .NET & C#, Java & Spring, Unreal Engine & C++, Python & LLM, Unity, Machine Learning Engineering — we’d be happy to connect and match you with a suitable project. If your experience matches our requirements, be ready for the next steps: VideoAsk — watch a short video about our startup, up to 10 minutes Complete your profile on our website Screening call Technical interview Feedback Magic Box (we are looking for the best project for you). We do not provide visa assistance, and our cooperation model does not include the benefits typically offered with direct hire. P.S. We work with developers from 71+ countries in different regions: Europe, LATAM, the U.S (if you are an owner of W-9 ben form), Canada, Asia (Japan, Singapore, South Korea, Philippines, Indonesia), Oceania (Australia, New Zealand, Papua New Guinea), and the the UK. However, we have some exceptions. At the moment, we don’t have a legal basis to accept applicants from the following countries: European: Hungary, Iceland, Liechtenstein, Kosovo, Belarus, Russia, and Serbia. Latin America: Cuba and Nicaragua Most Asian countries and Africa. We expand and shorten the list of exemptions regularly. Do you represent a company with engineers who match the description and want to collaborate with us through staff augmentation? Then register here ."
